Unnamed: 0,title,topic_id,step_id,topological_index,url,text
0,Introduction to Python,333,47352,89,https://hyperskill.org/learn/step/47352,"Let's wrap up what you've learned:

Python Origins: Created by Guido van Rossum in 1991, Python is renowned for its readability and flexibility. Named after the comedy troupe Monty Python, it aims to make coding fun and accessible.

Magic of print(): In Python, the print() function serves as your magic spell for displaying text on the screen.

String Enclosures: Remember, strings must be enclosed in appropriate quotes.

Case Sensitivity: Python is case-sensitive, so watch out for those details!

Indentation: Beware of extra indentation. This will lead to errors.

Call appropriately: Calling functions by the wrong name is a crime in Python.

So, dive in, have fun, and embrace the adventure of learning Python!
"
1,Multi-line programs,335,47555,90,https://hyperskill.org/learn/step/47555,"In our journey through Python's printing magic, we've discovered some cool tricks! Here's what we've been up to:
Printing several lines: The print() function is not just for printing one line – it's a versatile tool for creating multi-line output in our Python programs.Making spaces: Using the print() function without anything inside the parentheses will leave an empty line.Being Quick: Triple quotes or \n can be used to print multiple lines with a single print() function call.Using comments: We can leave little notes in our code using #, kind of like leaving breadcrumbs for others to follow.
With our bag of printing tricks full to bursting, we're ready for the next adventure, eager to explore new lands and conquer even bigger challenges in the world of Python!
"
2,Basic data types,394,47516,91,https://hyperskill.org/learn/step/47516,"Alright, let's summarize what we've covered in this module — the ABCs of Python's basic data types:

Strings (str): Think of these as the MVPs for handling text. They're your go-to when dealing with words and sentences. Plus, you can wrap them up in either single or double quotes for extra flexibility.

Integers (int): These are the plain ol' whole numbers, no decimal points involved. Whether it's -3, 0, or 42, they're your trusty companions for counting and beyond.

Floats (float): Now, these are the numbers with a bit of flair—they come with a decimal point. From 3.14 to -0.5, floats are your go-to for those precise measurements.

And hey, let's not forget about our buddy, the type() function. This little gem helps us figure out what type of data we're dealing with at any given moment.
"
3,Variables,396,47536,92,https://hyperskill.org/learn/step/47536,"Let's summarize our lesson:
Variables: Think of them as labeled storage units for your values. Use the equal sign (=) to assign a value and call the variable by its name to get its stored value. You can change the value of a variable anytime and even assign different types of values to the same variable.
Naming Rules: Variable names should start with a letter or an underscore and can include letters, digits, and underscores. Remember, they're case-sensitive.
Avoid Reserved Keywords: Don’t use Python’s reserved words as variable names.
Descriptive Names: Choose meaningful, concise names for better readability. Avoid overly long or cryptic names.
Following these principles will help you write clean, efficient, and understandable Python code!
"
4,Integer arithmetic: basic operations,398,47564,93,https://hyperskill.org/learn/step/47564,"Let's summarize our lesson:
Arithmetic Operations: Python provides basic arithmetic operations like addition (+), subtraction (-), multiplication (*), and division (/). These operations are essential for various programming tasks and real-life scenarios.
Integer division: In Python, integer division can be performed using the // operator, which returns the quotient as an integer by discarding the fractional part.
With a solid understanding of these principles, you'll be equipped to tackle a wide range of challenges in Python programming!
But wait, there's more. In the upcoming lesson, you'll learn about two additional important operators in Python.
"
5,Taking user's input,404,47680,94,https://hyperskill.org/learn/step/47680,"Finally, let's summarize everything we've learned:
You can process user input with the input() function;
You may include a message for the user with the input prompt;
The input() function has no limit on the length of data entered and will wait until the user hits Enter;
This function treats all entered values as strings;
In the very next lesson, you will learn how to convert the input data to the data type you need later on. So, keep learning!
"
6,Program with numbers,399,47734,95,https://hyperskill.org/learn/step/47734,"Thus, we have shed some light on new details about integer arithmetic and the processing of numerical inputs in Python. The key takeaways are just two:
We can convert the numeric user input with the help of int(input()) or float(input())There are compound assignment operators, such as +=, -=, *=, which make the code shorter and more readable.
You definitely know a lot more on integer arithmetic, however, the learning journey of a developer is never over.
"
7,Invoking functions,400,5891,113,https://hyperskill.org/learn/step/5891,"Even though invoking functions in Python is not about casting a spell or the like, it does sometimes work wonders. Let's start with the concept. A function is a structured fragment of code we may want to use in more than one place and more than one time. What's more, functions allow us to read both our code and that of someone else way better. Haven't they become your favorite yet?
Here is a simple function call:
multiply(1, 7)
Here multiply is the name of the function, and numbers in parentheses (1, 7) are its arguments. What is an argument? Well, it's just a value, that will be used inside the function body. Let's go deeper into it!
Invoking print()
To call, or invoke, a function in your program, simply write its name and add parentheses after it. That's all it takes! Fun fact: if you've ever typed an expression like this print(""Hello, world!""), you already know a little about functions. In this tiny example, however, we see the message ""Hello, world!"" in parentheses after the name of the print function. What does it mean? This string is just an argument. And more often than not, functions do have arguments. As for the print function, we may as well use it with no argument at all or even with multiple arguments:
print(""Hello, world!"")
print()
print(""Bye,"", ""then!"")
And here is the output:
Hello, world!

Bye, then!
So, the first call prints one string, and the second call of print without arguments prints, an empty line, and the last call outputs our two messages as one expression. Are you surprised by these results? Then you may learn how the print function works in more detail from its documentation. The Python documentation contains all sorts of information about the function of your interest, for example, which arguments it expects.
Built-in functions
Functions can make life easier, provided one is aware of their existence. Many algorithms are already written, so there is no need for reinvention, except perhaps for educational purposes. The Python interpreter has several functions and types built into it, so they are always available. Currently, the number of built-in functions amounts to 71 (in the Python 3.13 version). Some of them are used to convert the object type, for example, str() returns a string, int() returns an integer, and float() returns a floating-point number. Others deal with numbers: you can round() them and sum() them, find the minimum min() or the maximum max(). Still, others give us information about the object: its type() or length len(). Let's consider them in action!
In the following example, len() counts the number of characters in the string (the same goes for any sequence, i.e. list, tuple, range, byte sequences, byte arrays).
Then we declare the variables integer and float_number, convert our string to corresponding types, and write their sum into my_sum. By the way, the sum() function deals with iterable objects, that's why we use double parentheses.
The result is a floating-point number, which becomes clear after printing my_sum.
Furthermore, you can see how to find the minimum and maximum values: in this example, the smallest number equals 3 and the largest number 8.4 (the sum of 3 and 5.4) belongs to floats.
There is far more to explore, but let's sum it up.
Conclusion
The beauty of functions is that we can use them without clear insight into their inner structure, and how they manage to perform what we need. If you want to put a function to good use, make sure to check its documentation or try invoking the special help() function with the name of the function in question wrapped in parentheses. It saves the day when the function behaves unexpectedly.
Let's make a summary:
functions are meant to be reusable. You can apply them multiple times with different arguments,to call a function write its name followed by parentheses and place the arguments within,normally, a function has documentation, which sometimes might be of huge help.
"
8,Boolean type and operations. True and false,415,6025,114,https://hyperskill.org/learn/step/6025,"In programming languages, the boolean, or logical, type is a common way to represent something that has only two opposite states like on or off, yes or no, etc. It's a very useful type which you will quickly see for yourself when you start working on your projects or even write small programs. In this topic, we'll look at the boolean type in Python and learn how to use it.

Boolean type
The Boolean type, or simply bool, is a special data type that has only two possible values: True and False. In Python, the names of boolean values start with a capital letter.
If you are writing an application that keeps track of door openings, you'll find it natural to use bool to store the current door state.

Boolean operations
There are three built-in boolean operators in Python: and, or and not. The first two are binary operators which means that they expect two operands. not is a unary operator, it is always applied to a single operand. First, let's look at these operators applied to the boolean values.
and is a binary operator, it takes two arguments and returns True if both arguments are true, otherwise, it returns False.or is a binary operator, it returns True if at least one argument is true, otherwise, it returns False.not is a unary operator, it reverses the boolean value of its argument.
The precedence of boolean operations
Logical operators have a different priority and it affects the order of evaluation. Here are the operators in order of their priorities:
1. not
2. and
3. or
So, not is considered first, then and, finally or. Having this in mind, consider the following expression:
First, the part not False gets evaluated, and after evaluation, we are left with False or True. This results in True, if you recall the previous section.
While dealing solely with the boolean values may seem obvious, the precedence of logical operations will be quite important to remember when you start working with so-called truthy and falsy values.

Truthy and falsy values
Though Python has the boolean data type, we often want to use non-boolean values in a logical context. And Python lets you test almost any object for truthfulness. When used with logical operators, values of non-boolean types, such as integers or strings, are called truthy or falsy. It depends on whether they are interpreted as True or False.
The following values are evaluated to False in Python:
constants defined to be false: None and False,zero of any numeric type: 0, 0.0,empty sequences and containers: """", [], {}.
Anything else generally evaluates to True. Here is a couple of examples:
Generally speaking, and and or could take any arguments that can be tested for a boolean value.
Now we can demonstrate more clearly the difference in operator precedence:
Again, let's break the above expression into parts. Since the operator and has a higher priority than or, we should look at the 5 and 100 part. Both 100 and 5 happen to be truthy values, so this operation will return 100. You have never seen this before, so it's natural to wonder why we have a number instead of the True value here. The explanation is as follows:

The operators or and and return one of their operands, not necessarily of the boolean type (see details below). Nonetheless, not always returns a boolean value.
and returns the first value if it evaluates to False, otherwise it returns the second value.
or returns the first value if it evaluates to True, otherwise it returns the second value.
Coming back to the original expression, you can see that the last part False or 100 does exactly the same thing, returns 100 instead of True.
Another tricky example is below:
A pair of parentheses is a way to specify the order in which the operations are performed. Thus, we evaluate this part of the expression first: False or ''. This operand '' evaluates to False and or returns this empty string. Since the result of the enclosed expression is negated, we get True in the end: not '' is the same as True. Why didn't we get, say, a non-empty string? The not operator creates a new value, which by default has the boolean type. So, as stated earlier, the unary operator always returns a logical value.

Short-circuit evaluation
The last thing to mention is that logical operators in Python are short-circuited. That's why they are also called lazy. That means that the second operand in such an expression is evaluated only if the first one is not sufficient to evaluate the whole expression.
x and y returns x if x is falsy; otherwise, it evaluates and returns y.x or y returns x if x is truthy; otherwise, it evaluates and returns y.
For instance:

Summary
So, in this topic, we've learned about a boolean type in Python, what boolean operations it has (not, and, or) and their priority. We also familiarized ourselves with the concept of truthy and falsy values and why logical operators in Python are called short-circuited. Those were the very basics of boolean values and logical operations in Python. It's definitely good to know them right from the beginning!
"
9,Comparisons,405,5920,115,https://hyperskill.org/learn/step/5920,"Writing code without comparing any values in it will get you only so far. Now, it's time to master this skill.

Comparison operators
Comparison or relation operations let you compare two values and determine the relation between them. There are ten comparison operators in Python:
< strictly less than
<= less than or equal
> strictly greater than
>= greater than or equal
== equal
!= not equal
is object identity
is not negated object identity
in membership
not in negated membership.

The result of applying these operators is always bool. The following sections focus on the first six operators (<, <=, >, >=, ==, !=), but you can find more details about identity and membership testing in the next topics. Also, pay attention to the greater/less than or equal operators, they are supposed to be written in the same order their names are pronounced: <= less than or equal, >= greater than or equal.

Comparing integers
In this topic, we will cover only integer comparison.

Any expression that returns an integer is a valid comparison operand too:

Given the defined variables a, b and c, we basically check if 5 is equal to -10 + 15, which is true.

Comparison chaining
Since comparison operations return boolean values, you can join them using logical operators. In this case, it is important to know their priority, i.e. which one is executed first. All comparison operations have the same priority, and it is lower than that of any arithmetic, shifting, or bitwise operation (the last two are used for operations with bytes).

In Python, there is a fancier way to write complex comparisons. It is called chaining. For example, x < y <= z is almost equivalent to the expression you saw in the last example. The difference is that y is evaluated only once.

Please pay attention to the fact that tools for code quality often recommend chaining comparisons instead of joining them.

Comparison chaining, however, should be used carefully because sometimes expressions might get tricky, so the result would depend on the operators' order and how the parentheses are put.

The first expression is False because it is evaluated the following way: or operator has the lowest priority, so it will be evaluated last. The first argument (b + c <= e) is False. The second argument is the long one: f + g >= e == f == 5, it is going to be evaluated consequently, so let's break it down: this expression is equivalent to (f + g >= e) and (e == f) and (f == 5), which evaluates to False. Finally calculate the value of the whole expression: False or False is False. In the second case, we have True in the left parenthesis and True in the right parenthesis, so True equals True and the final expression is also True.

Logic & arithmetics
Let's look at another interesting case. At the beginning of the topic, we learned that the result of applying comparison operators is always bool. However, if there is a logical and arithmetic part in an expression, we might see unusual behavior due to logical operators in Python being short-circuited, or lazy:

# True and-expressions return the result of the last operation:

# False and-expressions return a boolean False value:

# True or-expressions return the result of the first operation:

# True-False or-expressions return the True part:
It might look confusing at first sight but, if you think about it, every printed value is perfectly legal and complies with common mathematical logic.

Summary
In this topic, we familiarized ourselves with Python comparison operators, learned how to compare integers, and use comparison chaining. These basic operators will definitely be a great help to you in the future!
"
